OBJECTID,DamID,Fault length (km),DIST DAM TO FAULT [m],EQ PREF MCE MW,FW or HW,ASSCM Classification,GMM code (1=craton; 2=ext),A12_med,AB06_med,D15_med,ESHM_med,NGAE_med,S09yc_med,S09nc_med,A12_std,AB06_std,D15_std,ESHM_std,NGAE_std,S09yc_std,S09nc_std,A12_wt,AB06_wt,D15_wt,ESHM_wt,NGAE_wt,S09yc_wt,S09nc_wt
99,19,57,83152.5,7.3,HW,B,1,-2.8370036190687706,-3.1929911537924465,-2.9100166414795963,-2.690231799516359,-2.4270824948372685,-2.1998430864347864,-2.487898308374592,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
100,19,30,89900.2,7.0,HW,OTHER,1,-3.147735604169868,-3.486266506663669,-3.2091057046919063,-3.0631061332207614,-2.7858208601807184,-2.732553546789627,-2.944604881338502,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
101,19,111,91099.7,7.6,HW,OTHER,1,-2.5781923621844105,-2.9765114534789894,-2.8071515657929926,-2.457478030350749,-2.1706861660697734,-1.899492159268733,-2.234206715620756,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
164,29,64,5685.1,7.3,HW,B,1,-0.45654953309901736,-0.8419843832217303,-1.4085317960958859,-0.7697256093580918,-0.5539646420928362,0.36863661238774825,-0.41846754715417556,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
165,29,93,49578.6,7.5,HW,D,1,-2.2095425724972197,-2.6622751059098153,-2.4032690292796555,-2.077075197440633,-1.8991145563067846,-1.3695445464890945,-1.8953265474087313,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
166,29,38,52914.8,7.1,HW,B,1,-2.613545021367611,-3.0544363803196037,-2.698968937165058,-2.514149730832047,-2.3488896247625437,-1.9860447480456591,-2.4052771384490015,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
167,29,10,56557.2,6.4,HW,C,1,-3.605807187137509,-3.9601863166903395,-3.4263917995483775,-3.250660889187905,-3.286724342654511,-3.161544078326939,-3.527946929824225,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7028766430494362,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
168,29,111,65436.2,7.6,HW,D,1,-2.431313864507179,-2.8829214689519023,-2.551381280633797,-2.1963011040973743,-2.008366489308595,-1.5295819563322455,-1.980296598805478,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
169,29,57,72450.5,7.3,FW,B,1,-2.7659339610446088,-3.180950942788419,-2.7986460080597872,-2.576653419627235,-2.360302286929533,-2.0424696417837747,-2.379068072037095,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
170,29,37,76971.4,7.1,HW,B,1,-3.0282402838062046,-3.3697971657184858,-2.9930676642288447,-2.8282196138584084,-2.6014775014630342,-2.3985622728507816,-2.677591068339389,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
171,29,12,81807.5,6.5,HW,D,1,-3.8790677701618725,-4.08722005240811,-3.632219834132858,-3.4895545762269378,-3.386432885306721,-3.423176999802751,-3.647012335673649,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
172,29,23,81995.4,6.8,HW,D,1,-3.424396634552904,-3.701308786541418,-3.31288826151193,-3.1867789406900204,-2.9990582745227643,-2.932695669170667,-3.1587018969536884,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
173,29,15,85345.1,6.6,HW,B,1,-3.709639727330746,-3.9557965335246346,-3.557556728436482,-3.426466037159182,-3.277782422540515,-3.3068573312793896,-3.513874484436169,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
174,29,59,85861.3,7.3,HW,B,1,-2.8321251951149473,-3.196038670477899,-2.936675008122018,-2.716803478707553,-2.4422556442171746,-2.2373735644549586,-2.514475644559314,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
175,29,26,86954.8,6.9,FW,D,1,-3.278859376621596,-3.5915726062553013,-3.269432504391562,-3.1365591289100183,-2.8982488183258694,-2.8461647930794323,-3.0591381018479233,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
176,29,34,87442.7,7.0,HW,B,1,-3.1527966269284624,-3.483501713303326,-3.1846975927065455,-3.0390896287567806,-2.7713727557878713,-2.6989672656781054,-2.9203587485298503,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
177,29,57,87662.1,7.3,HW,B,1,-2.8289664789664735,-3.198064648049946,-2.9540948298025276,-2.7340386126617897,-2.452471617066042,-2.2618688673170175,-2.531952782461601,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
178,29,30,88188.3,7.0,HW,B,1,-3.1512462471219505,-3.484340545421117,-3.1921502522969147,-3.04644213368582,-2.7757342610397684,-2.7092260299800444,-2.9277448622853193,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
179,29,13,88358.0,6.5,HW,B,1,-3.8610971804156082,-4.09458964708031,-3.703589259421272,-3.5606022780496756,-3.4256615045148053,-3.518404437653136,-3.7156005879822764,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
180,29,10,93155.2,6.4,HW,B,1,-4.016003482475148,-4.242086092447694,-3.874356786144755,-3.712677974583999,-3.6095653656983826,-3.757756290964865,-3.9422632269817566,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7028766430494362,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
181,29,58,94330.0,7.3,HW,B,1,-2.8178102207264804,-3.20556632277932,-3.0166593952020824,-2.795107979376545,-2.487318660008702,-2.3496585780608528,-2.5954416424729336,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
277,46,38,40481.9,7.1,HW,B,1,-2.3196551879713807,-2.764500171635657,-2.5060629536137857,-2.2936494914757724,-2.079259381688067,-1.6742647670068058,-2.144400234015272,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
278,46,19,44136.6,6.7,HW,B,1,-2.8727774941429374,-3.27956289352707,-2.9062412393166572,-2.742238026069995,-2.6216652503148605,-2.378194275241544,-2.802866696777501,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
279,46,31,75367.1,7.0,HW,B,1,-3.115619895392388,-3.4699161431295042,-3.0575665081782706,-2.9110348095816843,-2.696250290158342,-2.5234656819486805,-2.7966689895054353,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
280,46,14.25,84522.8,6.6,HW,D,1,-3.7118002991798913,-3.9548714106028804,-3.5487023942304696,-3.417649310001189,-3.272900766816996,-3.2949689391991672,-3.505330003691684,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
281,47,19,41531.1,6.7,HW,B,1,-2.8021619802605446,-3.2105129987284946,-2.8604746282039866,-2.6895551717506994,-2.557490515296151,-2.304185296241626,-2.7374651637104326,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
282,47,38,41665.7,7.1,HW,B,1,-2.3511389798855027,-2.7955292074419282,-2.526224082159327,-2.317220666490563,-2.1051052279949984,-1.708170954625474,-2.17422807265453,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
283,47,31,80240.6,7.0,HW,B,1,-3.1684918456825195,-3.4753990405625195,-3.1104252401472423,-2.9648817136719554,-2.730194265169756,-2.5965517197379806,-2.8475690018001227,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
284,47,14.25,83745.7,6.6,HW,B,1,-3.7138615152588836,-3.9539971396281812,-3.540280374180164,-3.409242869512512,-3.268309244055172,-3.283658005018212,-3.497220823320766,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
285,50,20,70391.9,6.8,HW,B,1,-3.283223632540489,-3.6882543492039823,-3.1815308264556235,-3.052283873578594,-2.9185376566833585,-2.753419924834066,-3.034052650511264,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
286,50,3,86101.9,5.8,HW,C,1,-5.2234664134729805,-5.227361424902251,-4.645676501968371,-4.590425261642546,-4.575394482200476,-4.62563283121335,-4.749947668868357,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7201761505894081,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
353,64,93,19144.5,7.5,HW,B,1,-1.2601228149779844,-1.7012317508535821,-1.8228749411462966,-1.3584883069675115,-1.0337385872504319,-0.33460808845288337,-1.0026329600794879,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
354,64,64,34505.8,7.3,HW,B,1,-1.9751852413522535,-2.429365790083035,-2.269109033254113,-1.9805261937944096,-1.7108433243206933,-1.214312416511534,-1.742818109678432,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
355,64,111,46639.7,7.6,HW,B,1,-2.0852435372892377,-2.536723114767372,-2.3156238728324054,-1.934399790882257,-1.7537125038172456,-1.1703441344409102,-1.7324975744887159,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
356,64,30,46738.0,7.0,HW,B,1,-2.5800281572223045,-3.015834634587385,-2.68436510355296,-2.506659029159723,-2.3215703199026505,-1.9904718858397443,-2.4277598155161235,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
357,64,57,50866.9,7.3,HW,D,1,-2.3863419689607768,-2.8366959874207676,-2.5332022315280467,-2.2892764141271846,-2.1203109995654175,-1.6635264433255224,-2.133680420872296,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
358,64,24,71348.9,6.8,HW,B,1,-3.2988451028719226,-3.6893310154281322,-3.1929152005808916,-3.0641386838862914,-2.92521196473261,-2.768991426105128,-3.044681634413304,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
359,64,34,75055.5,7.0,HW,D,1,-3.110956032207826,-3.4695655797068867,-3.05410792707514,-2.90748161996489,-2.694095537933469,-2.518677839742885,-2.7933646180476446,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
360,64,47,77519.4,7.2,HW,CD,1,-2.933280153289091,-3.275185722756258,-2.9227875830669956,-2.7332553548407357,-2.4992238745476674,-2.261029838096972,-2.553981954611434,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
361,64,38,85226.3,7.1,HW,C,1,-3.0408232063966807,-3.3790842838101645,-3.0789552536602276,-2.914803098630823,-2.6519052428394922,-2.517970497186113,-2.761508499578353,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
362,64,10,94618.2,6.4,HW,B,1,-4.012209974694524,-4.2437320304685215,-3.889443979436275,-3.727321648549888,-3.6176652956746573,-3.7777164213124705,-3.9570422727063175,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7028766430494362,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
363,64,38,95131.1,7.1,HW,OTHER,1,-3.021861941893108,-3.390227610473657,-3.175024947544399,-3.0088911704377606,-2.7059351524661763,-2.650977745599062,-2.8577820845623534,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
483,81,19,26949.0,6.7,HW,,1,-2.3058419957029437,-2.7241396707840178,-2.5525819756471355,-2.320734485522287,-2.062358946954103,-1.7999943727436634,-2.299683486149895,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
484,81,15.58,51175.5,6.6,HW,,1,-3.1830430290390384,-3.572570958725667,-3.121965699576118,-2.9672370786778504,-2.925172209097759,-2.7180943063907392,-3.11597811062089,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
485,81,38,70345.0,7.1,HW,,1,-2.928369409814817,-3.3623421802767846,-2.9194595312885374,-2.7521592136617725,-2.5570326291539605,-2.2958474792174974,-2.607276458274071,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
486,81,37,87773.8,7.1,FW,,1,-3.0357437456392717,-3.3819503310473875,-3.1043330043112314,-2.9399401665348335,-2.6665744391849135,-2.5531625082824614,-2.786692651116713,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
729,104,19,25304.3,6.7,HW,,1,-2.234740109687101,-2.6538615822768885,-2.5102357856059965,-2.268008820665253,-1.9995384469646766,-1.7297393264135632,-2.2396317625841737,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.7000300922103277,0.5599999894170231,0.6817,0.6269,0.24,0.13,0.14,0.1,0.09,0.16,0.14
