OBJECTID,DamID,Fault length (km),DIST DAM TO FAULT [m],EQ PREF MCE MW,FW or HW,ASSCM Classification,GMM code (1=craton; 2=ext),"1:5,000 AEP SA_3s_NSHA23",,,,
136,26,55,18450.0,7.3,HW,B,2,0.027387,,,,
137,26,12,27646.7,6.5,HW,B,2,0.027387,,,,
138,26,14,27782.7,6.6,HW,B,2,0.027387,,,,
139,26,50,35626.8,7.2,HW,B,2,0.027387,,,,
140,26,23,36845.8,6.8,HW,B,2,0.027387,,,,
141,26,62,44499.6,7.3,HW,B,2,0.027387,,,,
142,26,38,54660.9,7.1,HW,B,2,0.027387,,,,
143,26,25,55306.4,6.9,HW,B,2,0.027387,,,,
144,26,56,61582.6,7.3,HW,D,2,0.027387,,,,
145,26,60,64938.1,7.3,HW,B,2,0.027387,,,,
146,26,19,72736.4,6.7,HW,D,2,0.027387,,,,
147,26,34,77395.3,7.0,HW,B,2,0.027387,,,,
148,26,19,79797.4,6.7,HW,OTHER,2,0.027387,,,,
149,26,30,82021.3,7.0,HW,B,2,0.027387,,,,
150,26,26,83226.2,6.9,HW,B,2,0.027387,,,,
151,26,66,87115.4,7.4,HW,D,2,0.027387,,,,
152,26,44,88455.4,7.2,HW,OTHER,2,0.027387,,,,
153,26,11,89587.1,6.4,HW,B,2,0.027387,,,,
154,26,28,89753.9,6.9,HW,B,2,0.027387,,,,
155,26,25,92567.7,6.9,HW,B,2,0.027387,,,,
156,26,2,94833.2,5.6,HW,B,2,0.027387,,,,
157,26,31,97168.7,7.0,HW,B,2,0.027387,,,,
158,26,78,98813.0,7.4,HW,B,2,0.027387,,,,
159,26,66,100035.7,7.4,HW,B,2,0.027387,,,,
160,26,24,101267.9,6.8,HW,B,2,0.027387,,,,
161,26,38,101330.8,7.1,HW,B,2,0.027387,,,,
162,26,82,102392.6,7.5,HW,C,2,0.027387,,,,
163,26,53,103071.1,7.2,HW,CD,2,0.027387,,,,
164,29,64,5685.1,7.3,HW,B,1,0.015291,,,,
165,29,93,49578.6,7.5,HW,D,1,0.015291,,,,
166,29,38,52914.8,7.1,HW,B,1,0.015291,,,,
167,29,10,56557.2,6.4,HW,C,1,0.015291,,,,
168,29,111,65436.2,7.6,HW,D,1,0.015291,,,,
169,29,57,72450.5,7.3,FW,B,1,0.015291,,,,
170,29,37,76971.4,7.1,HW,B,1,0.015291,,,,
171,29,12,81807.5,6.5,HW,D,1,0.015291,,,,
172,29,23,81995.4,6.8,HW,D,1,0.015291,,,,
173,29,15,85345.1,6.6,HW,B,1,0.015291,,,,
174,29,59,85861.3,7.3,HW,B,1,0.015291,,,,
175,29,26,86954.8,6.9,FW,D,1,0.015291,,,,
176,29,34,87442.7,7.0,HW,B,1,0.015291,,,,
177,29,57,87662.1,7.3,HW,B,1,0.015291,,,,
178,29,30,88188.3,7.0,HW,B,1,0.015291,,,,
179,29,13,88358.0,6.5,HW,B,1,0.015291,,,,
180,29,10,93155.2,6.4,HW,B,1,0.015291,,,,
181,29,58,94330.0,7.3,HW,B,1,0.015291,,,,
182,30,44,25717.4,7.2,HW,D,2,0.01158,,,,
