OBJECTID,DamID,Fault length (km),DIST DAM TO FAULT m,EQ PREF MCE MW,FW or HW,ASSCM Classification,GMM code (1=craton; 2=ext),A12_med,AB06_med,D15_med,S09nc_med,NGAE_med,A12_std,AB06_std,D15_std,S09nc_std,NGAE_std,A12_wt,AB06_wt,D15_wt,S09nc_wt,NGAE_wt
158,26,78,98813,7.4,HW,B,2,-2.54164577,-2.89141441,-3.01398055,-2.58815737,-1.927011271,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
159,26,66,100035.7,7.4,HW,B,2,-2.5444133,-2.89318922,-3.02684968,-2.60283161,-1.939507131,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
160,26,24,101267.9,6.8,HW,B,2,-3.10111872,-3.39105808,-3.49413592,-3.15996954,-2.553764825,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
161,26,38,101330.8,7.1,HW,B,2,-2.8046635,-3.13026912,-3.25364753,-2.88076926,-2.24330222,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
162,26,82,102392.6,7.5,HW,C,2,-2.47260821,-2.82391711,-2.98634229,-2.54712334,-1.864814116,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
163,26,53,103071.1,7.2,HW,CD,2,-2.71830602,-3.05154189,-3.19799434,-2.81243067,-2.162886473,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
182,30,44,25717.4,7.2,HW,D,2,-1.2029333,-1.55322172,-1.96604738,-1.45848275,-0.653218806,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
183,30,60,44223.5,7.3,HW,DE,2,-1.86064664,-2.25877102,-2.33373329,-1.85334812,-1.214298345,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
184,30,143,87297.8,7.7,HW,B,2,-2.29512202,-2.66517981,-2.70919602,-2.20677914,-1.5550637,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
185,30,162,95701.1,7.8,HW,B,2,-2.25212364,-2.61324444,-2.74341025,-2.23095944,-1.553944161,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
186,30,28,103398.3,6.9,HW,B,2,-3.00245167,-3.30433701,-3.43429001,-3.09141568,-2.467538803,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
187,33,70,51095.8,7.4,HW,D,2,-1.98566059,-2.39563758,-2.39790768,-1.91305464,-1.312539583,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
188,33,49,84071.1,7.2,HW,D,2,-2.6729662,-3.02396245,-2.98359888,-2.57127774,-1.968797327,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
189,33,72,93832.3,7.4,HW,D,2,-2.5300067,-2.88418468,-2.96051666,-2.52744874,-1.877543386,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
190,33,55,95513.4,7.3,HW,B,2,-2.61550039,-2.96217152,-3.04582443,-2.6328108,-1.990483175,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
191,33,68,97596.6,7.4,HW,B,2,-2.53885831,-2.88964875,-3.00108027,-2.57347145,-1.914702353,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
192,33,24.633328,103126.2,6.9,HW,B,2,-3.00187528,-3.30394204,-3.4312869,-3.08801882,-2.464868245,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
193,33,24.723261,106759.4,6.9,HW,B,2,-3.00944898,-3.30921581,-3.47098287,-3.13301309,-2.50112869,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
194,34,56.215053,167.3,7.3,FW,B,2,1.17931553,1.40072128,-0.97317857,-0.24844362,0.723812612,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
195,34,101,9853.9,7.6,HW,B,2,0.13052391,-0.03129121,-1.24340519,-0.58578415,0.277662074,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
196,34,70,17397.9,7.4,HW,B,2,-0.59285555,-0.8870181,-1.60999397,-1.03827262,-0.145277079,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
197,34,41,25801,7.1,HW,B,2,-1.27116112,-1.62446687,-2.02187469,-1.53111872,-0.720817981,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
198,34,42.07241,30636.4,7.1,HW,D,2,-1.50324738,-1.87177398,-2.1531278,-1.67485895,-0.923884238,0.841134334,0.690775528,0.793206965,0.5684,0.619999997,0.29,0.15,0.17,0.29,0.1
