# generated_by='OpenQuake engine 3.6.0', start_date='2019-09-26T01:23:50', checksum=1403906382, kind='quantile-0.85', investigation_time=50.0
lon,lat,PGA-0.1,PGA-0.02
109.42521,-17.87105,1.345640E-02,3.107766E-02
109.42858,-19.22003,1.106468E-02,3.067877E-02
109.43225,-20.56901,7.028370E-03,2.795658E-02
109.43623,-21.91799,8.119313E-03,3.925918E-02
109.44052,-23.26697,1.020292E-02,4.374782E-02
109.44515,-24.61596,1.281909E-02,4.507640E-02
109.45013,-25.96494,1.390842E-02,4.795235E-02
109.45548,-27.31392,1.232988E-02,4.978284E-02
109.46121,-28.66290,9.748286E-03,4.285653E-02
109.46736,-30.01189,6.476322E-03,2.833405E-02
109.47393,-31.36087,6.267360E-03,2.429039E-02
109.48097,-32.70985,1.055911E-02,3.247126E-02
109.48849,-34.05883,1.841358E-02,5.593961E-02
109.49653,-35.40782,8.392246E-03,2.650176E-02
109.50512,-36.75680,3.467261E-03,1.559339E-02
109.51431,-38.10578,1.188363E-03,8.104550E-03
109.52413,-39.45476,0.000000E+00,3.311593E-03
109.53464,-40.80375,0.000000E+00,0.000000E+00
109.54298,-6.40469,8.831996E-02,2.035326E-01
109.54440,-7.61878,2.074895E-01,4.498417E-01
109.54588,-42.15273,0.000000E+00,0.000000E+00
109.54777,-9.91205,9.006172E-01,1.090000E+00
109.54968,-10.99123,2.237170E-01,5.304882E-01
109.55180,-42.82722,0.000000E+00,0.000000E+00
109.55423,-43.09702,0.000000E+00,0.000000E+00
109.55668,-43.36681,0.000000E+00,0.000000E+00
109.55944,-15.30798,2.163195E-02,4.423268E-02
109.56244,-16.38716,1.634884E-02,3.198024E-02
109.56556,-44.31110,0.000000E+00,0.000000E+00
109.56870,-18.41064,1.436382E-02,3.599790E-02
109.57218,-44.98559,0.000000E+00,0.000000E+00
109.57583,-20.43411,7.621251E-03,2.919104E-02
109.57946,-21.37840,7.889718E-03,3.998484E-02
109.58331,-22.32269,9.418992E-03,4.329311E-02
109.58916,-23.67167,1.186833E-02,4.647545E-02
109.59547,-25.02065,1.474158E-02,4.811979E-02
109.60226,-26.36963,1.466501E-02,5.150304E-02
109.60954,-27.71862,1.283464E-02,5.035040E-02
109.61735,-29.06760,9.280689E-03,4.254867E-02
109.62571,-30.41658,6.132558E-03,2.759195E-02
109.63466,-31.76556,6.882138E-03,2.739167E-02
109.64423,-33.11455,1.832815E-02,5.930750E-02
109.65446,-34.46353,2.010432E-02,6.309486E-02
109.66539,-35.81251,7.321941E-03,2.427660E-02
109.67708,-37.16149,3.114631E-03,1.563126E-02
109.67967,-7.07919,1.355036E-01,2.691945E-01
109.68162,-8.29327,2.583615E-01,6.022835E-01
