# mean, investigation_time=50.0
lon,lat,PGA-0.1,PGA-0.0952,PGA-0.02
109.31461,-30.95617,1.753946E-03,1.914942E-03,1.258442E-02
109.31920,-32.30516,2.808155E-03,3.024679E-03,1.343283E-02
109.32412,-33.65414,4.544997E-03,4.837531E-03,1.904482E-02
109.32937,-35.00312,3.328288E-03,3.508402E-03,1.368161E-02
109.33499,-36.35210,1.449402E-03,1.535992E-03,7.640806E-03
109.34099,-37.70109,5.000471E-04,5.433993E-04,4.123854E-03
109.34741,-39.05007,0.000000E+00,0.000000E+00,1.594429E-03
109.35427,-40.39905,0.000000E+00,0.000000E+00,0.000000E+00
109.36162,-41.74803,0.000000E+00,0.000000E+00,0.000000E+00
109.36948,-43.09702,0.000000E+00,0.000000E+00,0.000000E+00
109.37791,-44.44600,0.000000E+00,0.000000E+00,0.000000E+00
109.38696,-45.79498,0.000000E+00,0.000000E+00,0.000000E+00
109.40780,-7.07919,9.509430E-02,9.839724E-02,2.206492E-01
109.40911,-8.42817,2.387528E-01,2.497626E-01,7.669854E-01
109.41066,-9.77715,5.471341E-01,5.754273E-01,1.090000E+00
109.41245,-11.12613,1.286028E-01,1.336071E-01,3.106748E-01
109.41448,-12.47512,5.240497E-02,5.402104E-02,1.199574E-01
109.41677,-13.82410,2.822251E-02,2.908439E-02,6.512714E-02
109.41931,-15.17308,1.752946E-02,1.814587E-02,4.161537E-02
109.42212,-16.52206,1.172428E-02,1.216100E-02,2.904020E-02
109.42521,-17.87105,8.571724E-03,8.917142E-03,2.205281E-02
109.42858,-19.22003,6.235681E-03,6.537556E-03,1.956250E-02
109.43225,-20.56901,3.707043E-03,3.913090E-03,1.821146E-02
109.43623,-21.91799,4.024923E-03,4.288864E-03,2.535854E-02
109.44052,-23.26697,5.690851E-03,6.016257E-03,2.786598E-02
109.44515,-24.61596,7.747284E-03,8.113601E-03,2.986642E-02
109.45013,-25.96494,7.872773E-03,8.251047E-03,3.109555E-02
109.45548,-27.31392,6.237497E-03,6.589895E-03,3.010008E-02
109.46121,-28.66290,3.848937E-03,4.116665E-03,2.424005E-02
109.46736,-30.01189,2.314704E-03,2.531424E-03,1.721420E-02
109.47393,-31.36087,2.124033E-03,2.306948E-03,1.355648E-02
109.48097,-32.70985,3.839660E-03,4.077316E-03,1.707581E-02
109.48849,-34.05883,5.292098E-03,5.593369E-03,2.303082E-02
109.49653,-35.40782,3.066522E-03,3.226803E-03,1.286687E-02
109.50512,-36.75680,1.258771E-03,1.335346E-03,7.238293E-03
