EVENT,GAID,LON,LAT,DEP,OMAG,OMAG_TYPE,MB,BRUNE_MAG,BRUNE_MAG_STD,STRESS_DROP,LOG_STRESS_DROP_STD,CORN_FREQ,CORN_FREQ_STD,NRECS,FMIN,FMAX,QUALITY,ML2800,ML2080,DOMAIN
2002-03-23T13:16:22.000000Z,ga2002ftsfnx,117.054,-30.521,1.7,4.39,mwt,nan,4.389604179,0.370211768,1.60536408,0.286144277,1.275659874,0.652097703,10,0.3,12,1,4.594,4.502,CBGZ
2002-03-30T21:15:46.000000Z,ga2002gheeuy,117.049,-30.519,0.8,4.6,mwt,nan,4.663255889,0.296097754,3.810227446,0.512006364,1.241751882,0.813370901,12,0.1,10,1,4.918,4.824,CBGZ
2002-04-18T18:02:07.000000Z,ga2002hpuorb,117.06,-30.533,2.4,3.8,MLa,nan,4.005498563,0.14222933,0.619443374,0.449536995,1.44520812,0.798573001,12,0.5,12,1,3.903,3.804,CBGZ
2002-06-13T18:46:18.000000Z,ga2002loqsak,113.971,-19.46,14.7,4.4,ML,nan,3.969731459,0.193355885,25.73713446,0.529739815,5.215950626,4.249720933,3,0.8,12,1,nan,nan,EBGZ
2002-06-15T21:18:42.000000Z,ga2002lsnfcq,147.425,-42.124,10,4.3,MLa,nan,4.098219348,0.265305025,1.164873724,0.404661482,1.603229688,1.006396464,6,0.8,12,1,3.958,3.869,NCBT
2002-06-23T11:21:12.000000Z,ga2002mglfgw,117.06,-30.543,0.5,3.8,MLa,nan,4.080433958,0.218094359,0.472778243,0.466711057,1.211568535,0.763592333,11,0.4,10,1,3.994,3.902,CBGZ
2002-08-22T21:23:03.000000Z,ga2002qnissd,148.354,-33.865,3,3.6,Mwt,nan,3.885891376,0.229742593,0.468346948,0.486526015,1.5109706,0.71549458,23,0.6,12,1,3.9,3.81,NCBM
2002-09-24T07:42:57.000000Z,ga2002suwnbc,146.083,-38.67,3.4,3.7,Mwt,nan,4.117418905,0.288919188,0.318739505,0.805393294,1.018079399,1.142890147,16,0.6,12,1,3.986,3.892,EBGZ
2002-10-08T15:54:52.000000Z,ga2002tvezgt,115.498,-25.263,5,4.5,ML,nan,4.20265726,0.185060501,3.413936042,0.25572037,2.03439666,0.593679082,8,0.6,8,1,4.562,4.471,EBGZ
2003-08-11T07:04:29.000000Z,ga2003psbhel,147.114,-18.436,5,4.8,ML,nan,4.003666277,0,3.922461128,0,2.679367067,0,1,0.8,10,0,nan,nan,NCBM
2003-11-22T18:36:02.000000Z,ga2003wzzztj,138.729,-31.645,15.83,4.2,MLa,nan,4.033982426,0.180875454,2.409228431,0.582834411,2.199449107,1.466377635,16,0.4,12,1,4.126,4.031,NCBM
2003-12-05T22:26:23.000000Z,ga2003xyebru,126.745,-18.225,0,4.8,ML,nan,4.25008397,0.208695053,9.69980345,0.326958656,2.728295859,1.338601457,8,0.6,6,1,nan,nan,CBGZ
2003-12-11T10:19:20.000000Z,ga2003yigils,150.444,-34.485,5,4.2,ML,nan,4.002711683,0.158631343,4.233984198,0.548655744,2.75152232,1.705653207,25,0.7,12,1,4.179,4.081,NCBM
2004-01-16T15:05:56.000000Z,ga2004bcrxwm,151.275,-25.072,0,4.4,ML,nan,3.796556207,0.142072731,4.786494832,0.625561997,3.634183888,1.545713414,3,0.5,8,1,nan,nan,NCBM
2004-02-11T09:17:58.000000Z,ga2004cxzgxi,129.871,-22.738,12.8,5,ML,nan,4.617357636,0.194384243,2.711172776,0.321645516,1.168743973,0.352751867,12,0.35,10,1,5.006,4.92,CBGZ
2004-02-11T09:30:39.000000Z,ga2004cxzrvm,129.823,-22.68,12.5,5.4,ML,nan,4.878360428,0.235618133,2.009007903,0.465930354,0.783116074,0.324911236,18,0.3,10,1,5.321,5.237,CBGZ
2004-03-05T00:11:29.000000Z,ga2004enmwfu,127.034,-32.472,0,4.4,ML,nan,4.281591836,0.067930911,1.841326748,0.444708401,1.51214524,0.447609342,9,0.6,10,1,nan,nan,CBGZ
2004-11-24T02:42:59.000000Z,ga2004xehpdd,117.472,-30.633,0,4.16,mwt,nan,4.127454579,0.300148376,1.887540277,0.272687825,1.820751138,0.800987733,7,0.5,7,1,4.421,4.325,CBGZ
2005-03-03T10:57:01.000000Z,ga2005eivbwe,139.139,-30.899,21.4,4,ML,nan,3.62917768,0.269738634,0.432785682,0.524524303,1.977794929,0.787190431,8,0.7,5,1,3.61,3.516,NCBM
2005-03-13T02:09:49.000000Z,ga2005famwje,131.644,-26.155,5,4.6,ML,nan,4.626105534,0.17312007,3.437221996,0.65258857,1.252263045,0.619540969,10,0.6,10,1,nan,nan,CBGZ
2005-03-16T01:27:17.000000Z,ga2005ffyqix,117.464,-30.639,2.6,4.2,ML,nan,4.142899446,0.466531571,0.146459382,0.584505216,0.76290152,0.952709905,5,0.6,5,0,3.835,3.745,CBGZ
2005-03-22T19:51:53.000000Z,ga2005fsjpmn,119.61,-21.004,10,4.4,ML,nan,3.67836205,0.289720368,6.204999498,0.439410975,4.540238803,0.796865092,5,1.5,9,0,nan,nan,CBGZ
