DATESTR,LON,LAT,GGML,GGTYPE,AUSTML,ALLENML,PREFMW,MIN_RHYP,MAX_RHYP,NSTA
1998-02-14 18:23:34,148.702,-35.375,4.2,ML,4.2,4.04,3.79,48.1,461.7,22.0
1998-03-09 12:40:43,150.055,-32.171,3.6,ML,NaN,3.28,3.34,,,
1998-04-04 09:55:41,146.124,-38.709,3.5,ML,3.3,3.28,3.42,20.2,474.1,12.0
1998-07-17 01:22:39,148.007,-36.439,4.5,ML,4.3,4.22,3.93,24.9,778.0,24.0
1998-11-07 22:42:50,148.893,-35.144,3.1,ML,NaN,2.96,3.04,31.8,219.2,16.0
1999-01-13 09:40:02,146.317,-38.097,3.7,ML,3.5,3.61,3.54,16.1,406.8,14.0
1999-03-14 00:13:32,147.07,-34.009,4.4,ML,4.4,4.16,3.87,135.5,430.7,10.0
1999-03-17 01:58:10,150.748,-34.253,4.4,ML,4.8,4.45,4.34,8.0,892.5,21.0
1999-04-16 10:51:21,145.984,-37.413,3.1,ML,NaN,3.07,3.2,49.5,203.2,16.0
1999-04-16 11:08:10,145.973,-37.415,2.6,ML,NaN,2.62,2.95,50.0,364.1,17.0
1999-07-13 01:42:47,148.976,-34.286,3,ML,NaN,3.14,3.21,79.8,268.8,18.0
1999-09-27 09:29:38,149.163,-34.753,2.8,ML,NaN,2.54,2.81,52.3,166.0,11.0
1999-09-29 00:42:06,150.492,-34.523,2.5,ML,NaN,2.39,NaN,15.0,233.6,17.0
2000-03-16 13:26:30,146.103,-37.496,3.7,ML,3.8,3.62,3.54,36.3,411.3,16.0
2000-06-22 18:13:57,144.864,-36.815,3.1,ML,NaN,3.06,3.27,19.2,237.7,13.0
2000-07-24 07:47:16,145.272,-37.958,2.8,ML,NaN,2.88,3.13,40.4,281.3,10.0
2000-08-03 11:29:34,145.989,-38.752,3,ML,NaN,3.15,3.24,16.2,264.4,11.0
2000-08-29 10:20:25,146.236,-38.391,2.5,ML,NaN,2.77,3.04,16.1,234.1,12.0
2000-08-29 12:05:51,146.246,-38.404,4.8,ML,5,4.44,4.15,27.1,765.1,31.0
2001-01-05 16:04:56,146.006,-38.238,2.7,ML,NaN,2.57,2.92,37.4,228.5,10.0
2001-08-21 23:13:05,145.472,-38.119,3.7,ML,3.6,3.59,3.66,62.1,355.3,18.0
2001-10-13 04:42:05,147.675,-36.833,3.6,ML,3.9,3.37,3.42,37.6,471.9,17.0
2001-10-27 07:58:48,143.643,-35.356,4.8,ML,4.8,4.42,4.19,82.8,671.4,19.0
2001-11-23 03:33:32,148.31,-33.901,3.7,ML,3.8,3.68,3.58,50.5,474.3,19.0
2002-02-14 13:27:21,150.659,-34.425,3.8,ML,3.9,3.58,3.5,13.2,379.0,12.0
2002-08-22 21:23:04,148.245,-33.897,3.9,ML,3.9,3.63,3.65,49.7,473.6,17.0
2002-09-24 07:42:57,146.066,-38.691,3.7,ML,4,3.7,3.67,12.5,471.8,15.0
2002-09-24 13:39:28,146.103,-38.664,3.5,ML,3.5,3.3,3.4,14.6,470.4,17.0
2003-12-11 10:19:21,150.464,-34.498,4.2,ML,4.2,3.95,3.81,20.6,324.1,17.0
2004-02-28 11:32:09,147.694,-35.005,3.6,ML,3.9,3.47,3.46,89.7,457.4,18.0
2007-03-08 02:34:13,145.746,-37.903,3.6,ML,3.5,3.68,3.66,50.3,319.2,18.0
2009-01-12 08:48:43,145.867,-38.425,3.7,ML,3.5,3.57,3.54,50.1,404.9,12.0
2009-03-06 09:55:37,145.852,-38.413,4.6,ML,4.6,4.66,4.42,43.8,464.5,17.0
2009-03-18 05:28:18,145.8581,-38.4016,4.6,ML,4.6,4.51,4.33,40.4,511.2,17.0
2011-07-05 01:32:11,145.869,-38.416,4.4,ML,4.38,4.47,4.1,98.4,511.5,5.0
2012-06-05 09:12:09,148.757,-34.304,3.1,ML,NaN,3.25,NaN,30.5,256.0,4.0
2012-06-08 11:31:03,150.521,-30.805,4.4,ML,4.19,4.33,3.99,122.4,697.0,24.0
2012-06-19 10:53:29,146.29,-38.259,5.6,ML,5.4,5.35,5,22.9,775.0,23.0
2012-06-22 09:16:02,148.646,-34.066,3.9,ML,3.74,3.85,NaN,34.1,478.8,16.0
2012-07-20 09:11:30,146.215,-38.231,4.4,ML,4.35,4.4,4.37,14.6,478.8,17.0
2013-01-12 16:10:53,148.918,-34.186,3.2,ML,NaN,3.34,NaN,50.4,319.8,8.0
2013-10-07 20:15:40,150.788,-34.165,3.6,ML,3.51,3.62,NaN,24.2,400.2,13.0
2013-10-24 12:49:38,150.762,-34.172,2.9,ML,NaN,2.94,NaN,28.1,181.9,5.0
2014-09-23 11:55:10,151.367,-32.87,3.1,ML,NaN,3.13,NaN,,,
2014-12-02 16:34:40,145.846,-38.418,3.4,ML,3.39,3.4,NaN,10.2,443.2,14.0
2014-12-03 19:05:10,145.4599,-38.0668,3.4,ML,3.26,3.48,NaN,20.1,319.2,9.0
2015-02-15 15:57:07,151.5552,-25.1021,5.2,ML,5.17,5.28,4.76,45.3,738.0,9.0
2016-01-30 17:39:14,149.08,-35.91,3.6,ML,3.58,3.63,NaN,36.6,369.4,19.0
2016-02-10 05:03:28,148.8375,-35.0019,3.3,ML,NaN,3.26,NaN,34.7,483.2,23.0
2016-04-04 19:42:32,146.034,-38.5716,3.2,ML,NaN,3.31,NaN,21.8,366.2,18.0
2017-01-03 14:13:08,150.7077,-34.1792,3.5,ML,3.84,3.82,NaN,5.5,395.6,18.0
2017-01-31 19:40:15,146.2745,-38.4295,3.4,ML,3.45,3.57,NaN,22.9,431.7,17.0
2017-04-13 16:31:05,148.956,-33.464,4.3,ML,4.27,4.24,NaN,106.2,641.9,27.0
