#,,,,"generated_by='OpenQuake engine 3.13.0', start_date='2022-03-06T16:19:51', checksum=2538590070, kind='mean', investigation_time=50.0"
lon,lat,PGA-0.02,PGA-0.05,PGA-0.1
147.15019,-43.47194,3.614398E-02,1.887821E-02,1.069950E-02
147.21201,-43.47184,3.590215E-02,1.870246E-02,1.058044E-02
147.27383,-43.47171,3.567275E-02,1.852705E-02,1.045915E-02
147.33564,-43.47155,3.542902E-02,1.834602E-02,1.033422E-02
147.39746,-43.47135,3.517564E-02,1.815593E-02,1.020440E-02
145.85296,-43.42126,4.230546E-02,2.204712E-02,1.248667E-02
145.91472,-43.42187,4.221599E-02,2.203383E-02,1.249864E-02
145.97647,-43.42244,4.210860E-02,2.200016E-02,1.249477E-02
146.03823,-43.42297,4.199419E-02,2.194795E-02,1.247651E-02
146.09999,-43.42347,4.185722E-02,2.187834E-02,1.244506E-02
146.16176,-43.42394,4.169360E-02,2.179116E-02,1.240048E-02
146.22352,-43.42438,4.150928E-02,2.168837E-02,1.234448E-02
146.28528,-43.42478,4.128696E-02,2.156898E-02,1.227752E-02
146.34705,-43.42515,4.103533E-02,2.143264E-02,1.219966E-02
146.40882,-43.42549,4.077188E-02,2.128059E-02,1.211194E-02
146.47059,-43.42579,4.046249E-02,2.111028E-02,1.201521E-02
146.53236,-43.42606,4.010881E-02,2.092255E-02,1.191043E-02
146.59413,-43.42630,3.970989E-02,2.071851E-02,1.179872E-02
146.65590,-43.42650,3.924420E-02,2.050128E-02,1.168215E-02
146.71767,-43.42667,3.874715E-02,2.027813E-02,1.156227E-02
146.77944,-43.42680,3.825485E-02,2.005393E-02,1.144008E-02
146.84121,-43.42691,3.779248E-02,1.983411E-02,1.131725E-02
146.90299,-43.42697,3.736328E-02,1.962334E-02,1.119473E-02
146.96476,-43.42701,3.698089E-02,1.942431E-02,1.107313E-02
147.02653,-43.42701,3.664494E-02,1.923716E-02,1.095293E-02
147.08830,-43.42698,3.634309E-02,1.904883E-02,1.083368E-02
147.15008,-43.42692,3.607621E-02,1.886678E-02,1.071495E-02
147.21185,-43.42682,3.583038E-02,1.868952E-02,1.059530E-02
147.27362,-43.42669,3.558815E-02,1.851202E-02,1.047355E-02
147.33539,-43.42652,3.535019E-02,1.833067E-02,1.034834E-02
147.39716,-43.42633,3.509681E-02,1.813985E-02,1.021821E-02
147.45894,-43.42609,3.480686E-02,1.793417E-02,1.008208E-02
145.73039,-43.37495,4.229652E-02,2.201632E-02,1.244911E-02
145.79210,-43.37561,4.225268E-02,2.204140E-02,1.249036E-02
145.85381,-43.37625,4.219116E-02,2.204139E-02,1.251386E-02
145.91552,-43.37685,4.212353E-02,2.202312E-02,1.252140E-02
145.97723,-43.37742,4.203962E-02,2.198671E-02,1.251413E-02
146.03894,-43.37796,4.192951E-02,2.193193E-02,1.249318E-02
146.10066,-43.37846,4.180424E-02,2.186147E-02,1.245961E-02
146.16238,-43.37893,4.165352E-02,2.177469E-02,1.241397E-02
146.22409,-43.37936,4.146491E-02,2.167172E-02,1.235734E-02
146.28581,-43.37976,4.124912E-02,2.155396E-02,1.229022E-02
146.34753,-43.38013,4.101386E-02,2.142060E-02,1.221260E-02
146.40926,-43.38047,4.074751E-02,2.127055E-02,1.212536E-02
146.47098,-43.38077,4.044513E-02,2.110302E-02,1.202912E-02
