PLACE,LON,LAT,2007PGA_500-YR,2012PGA_500-YR,2018PGA_475-YR,2018PGA_500-YR,2007/2012 %DIFF,2007/2018 %DIFF, 2012/2018 %DIFF,2007PGA_1500-YR,2018PGA_1500-YR,2007PGA_2500-YR,2012PGA_2500-YR,2018PGA_2475-YR,2018PGA_2500-YR,2007/2018_2500 %DIFF,2012/2018_2500 %DIFF,2007(10%)/2018(2%) %DIFF
Port Lincoln,135.86,-34.73,0.1,0.051,0.017,0.017,-49.1,-82.6,-65.81,0.15,0.041,0.18,0.167,0.06,0.06,-66.401,-63.764,-39.522
Port Macquarie,152.91,-31.43,0.06,0.025,0.01,0.011,-58,-81.94,-56.99,0.09,0.028,0.108,0.08,0.041,0.041,-62.044,-48.631,-31.679
Port Pirie,138.01,-33.2,0.1,0.059,0.035,0.036,-40.6,-63.88,-39.19,0.15,0.077,0.18,0.163,0.106,0.107,-40.5,-34.174,7.1
Quairading,117.4,-32.01,nan,nan,0.066,0.069,nan,nan,nan,nan,0.158,nan,nan,0.223,0.225,nan,nan,nan
Robe,139.76,-37.01,0.1,0.028,0.016,0.017,-71.8,-83.19,-40.38,0.15,0.037,0.18,0.082,0.052,0.052,-70.974,-36.517,-47.753
Rockhampton,150.5,-23.38,0.08,0.028,0.006,0.006,-65.25,-92.67,-78.92,0.12,0.013,0.144,0.076,0.019,0.019,-86.541,-74.364,-75.774
Sale,147.07,-38.11,nan,nan,0.046,0.048,nan,nan,nan,nan,0.113,nan,nan,0.161,0.162,nan,nan,nan
Shepparton,145.4,-36.38,0.09,0.049,0.019,0.019,-46,-78.43,-60.05,0.135,0.04,0.162,0.135,0.054,0.054,-66.647,-59.858,-39.965
Sydney,151.2,-33.86,0.08,0.056,0.021,0.022,-30,-72.75,-61.08,0.12,0.045,0.144,0.155,0.061,0.061,-57.368,-60.47,-23.262
Tamworth,150.93,-31.08,0.07,0.028,0.011,0.012,-60.71,-83.09,-56.96,0.105,0.027,0.126,0.075,0.037,0.038,-70.072,-49.922,-46.13
Taree,152.45,-31.91,0.08,0.029,0.012,0.012,-63.12,-84.38,-57.65,0.12,0.029,0.144,0.086,0.041,0.042,-71.074,-51.622,-47.933
Tennant Creek,134.18,-19.65,0.13,0.153,0.011,0.012,17.77,-90.75,-92.15,0.195,0.038,0.234,0.362,0.061,0.061,-73.738,-83.024,-52.729
Toowoomba,151.95,-27.56,0.06,0.041,0.007,0.008,-31.67,-87.08,-81.1,0.09,0.018,0.108,0.119,0.025,0.025,-76.538,-78.76,-57.768
Townsville,146.8,-19.26,0.07,0.023,0.006,0.006,-66.71,-91.79,-75.32,0.105,0.013,0.126,0.068,0.019,0.019,-85.072,-72.258,-73.13
Tweed Heads,153.54,-28.18,0.05,0.026,0.006,0.006,-48.8,-87.47,-75.52,0.075,0.015,0.09,0.075,0.022,0.022,-75.778,-70.934,-56.401
Uluru,131.01,-25.28,0.08,0.057,0.03,0.031,-28.5,-61.1,-45.59,0.12,0.072,0.144,0.187,0.103,0.104,-27.742,-44.268,30.065
Wagga Wagga,147.35,-35.13,0.09,0.048,0.024,0.025,-47,-72.42,-47.96,0.135,0.049,0.162,0.124,0.065,0.065,-59.584,-47.326,-27.251
