FID,earthquake_id,azimuthal_gap,azimuth_horizontal_uncertainty,depth,depth_uncertainty,description,epicentral_time,evaluation_mode,evaluation_status,event_creation_time,event_id,event_modification_time,latitude,longitude,mb,md,ml,ms,mw,mww,mwp,mwmwp,minimum_distance,maximum_distance,nearest_station,origin_id,origin_time,origin_time_uncertainty,phase_count,preferred_magnitude,preferred_magnitude_type,max_horizontal_uncertainty,min_horizontal_uncertainty,source,standard_error,station_count
earthquakes.fid--5708c50e_170e4f7b976_-3200,649572,149.31,33.41,0,0,Manildra; NSW.,,,FINL,2012-12-10T11:35:03,ga2012yenizb,2012-12-10T11:36:45,-33.1879,148.7243,,,2.23,2.43,,,,,,,,687578,2012-12-08T09:33:14,0.36,5,2.23,ML,6.3405,3.3653,AUST,0.3867,5
earthquakes.fid--5708c50e_170e4f7b976_-31ff,650989,337.03,9.79,0,0,Offshore E of Ulladulla; NSW.,,,FINL,2013-11-26T09:31:06,ga2013xevlkf,2013-11-26T09:33:07,-35.3246,151.3077,,,2.24,,,,,,,,,847578,2013-11-25T09:41:04,1.43,8,2.24,ML,15.8957,10.694,AUST,0.7591,4
earthquakes.fid--5708c50e_170e4f7b976_-31fe,650152,139.77,264.04,0.0572,0.6686,NE of Boorowa; NSW.,,,FINL,2013-04-22T11:25:26,ga2013hrfzoa,2013-04-22T11:32:30,-34.3627,148.8968,,,2.24,,,,,,,,,750788,2013-04-19T12:51:07,0.04,8,2.24,ML,0.5672,0.1104,AUST,0.4158,4
earthquakes.fid--5708c50e_170e4f7b976_-31fd,650012,233.68,303.48,0,0.295,E of Minnamurra; NSW.,,,FINL,2013-03-12T13:51:03,ga2013ewqxgg,2013-03-12T13:52:52,-34.6294,150.8915,,,2.25,,,,,,,,,730764,2013-03-10T23:53:38,0.03,8,2.25,ML,1.472,0.1116,AUST,0.3356,4
earthquakes.fid--5708c50e_170e4f7b976_-31fc,654226,116.09,166.58,10,0,Lithgow; NSW.,,,FINL,2015-11-10T11:05:03,ga2015wcmzzd,2015-11-10T11:06:42,-33.5523,150.275,,,2.26,,,,,,,,,1231486,2015-11-09T23:21:07,1.04,16,2.26,ML,9.6848,5.9037,AUST,0.527,9
earthquakes.fid--5708c50e_170e4f7b976_-31fb,648779,151.18,16.49,0,0,N of Boorowa; NSW.,,,FINL,2012-06-07T09:51:11,ga2012lbsmms,2012-06-07T09:55:36,-34.3486,148.7456,,,2.27,,,,,,,,,609667,2012-06-05T17:42:03,0,8,2.27,ML,0.1613,0.0982,AUST,0.7357,4
earthquakes.fid--5708c50e_170e4f7b976_-31fa,648346,192.97,123.99,5.2727,3.9127,Brunkerville; NSW.,,,FINL,2012-03-06T10:01:08,ga2012eacenk,2012-03-06T10:09:38,-32.9349,151.4694,,,2.28,,,,,,,,,572197,2012-02-26T16:51:02,0.5,6,2.28,ML,6.2445,3.19,AUST,0.1911,5
earthquakes.fid--5708c50e_170e4f7b976_-31f9,648509,221,118.44,11.7579,5.1613,NE of Wollongong. NSW.,,,FINL,2012-04-11T11:55:06,ga2012havrbq,2012-04-11T12:06:46,-34.3474,150.953,,,2.29,,,,,,,,,584425,2012-04-09T14:27:57,0.78,8,2.29,ML,14.2179,3.531,AUST,0.716,5
earthquakes.fid--5708c50e_170e4f7b976_-31f8,651304,161.41,127.79,0,0,N of Molong; NSW.,,,FINL,2014-02-06T10:25:12,ga2014cnacmm,2014-02-06T10:26:37,-32.9605,148.8952,,,2.29,2.53,,,,,,,,879183,2014-02-05T09:53:47,0.65,10,2.29,ML,6.2708,4.8885,AUST,0.8227,6
earthquakes.fid--5708c50e_170e4f7b976_-31f7,648856,0,,0,,N of Boorowa; NSW.,,,FINL,2012-06-25T12:34:20,ga2012mguhqc,2012-06-25T12:34:20,-34.125,148.6715,,,2.29,,,,,,,,,2156305,2012-06-22T15:55:29,,0,2.29,ML,,,AUST,,0
