LON,LAT,P0.02,P0.01375,P0.01,P0.00445,P0.0021,P0.001,P0.0005,P0.000404,P0.0002,P0.0001
144.35,-38.15,0.008027226248756519,0.01236098707518478,0.017229374134728682,0.03660033117763615,0.06757537875863218,0.1184894953015909,0.19738645595107643,0.23087707686959918,0.386276198987278,0.625199533075894
144.96,-37.81,0.008457729326371618,0.0130170165086662,0.018026258246991334,0.036847856655143875,0.06367773325003356,0.10217246997337612,0.1510565120907243,0.16900765565150908,0.24199374368431503,0.3376324504825859
145.13,-38.14,0.009594859565081734,0.014927002609130746,0.020931703358353843,0.043739921383639836,0.07762952780411976,0.12791940074829608,0.19842608633373368,0.22648320779436357,0.35064380775535947,0.5441192175105163
145.40,-36.38,0.005929076634134231,0.008927680424203582,0.01210201732138827,0.0235770076021985,0.04020683874702274,0.06453888189092004,0.09716219273110842,0.10954143520780524,0.1601521678220143,0.2283128769586492
145.49,-38.08,0.01007002087914482,0.015836444141061792,0.022428425896826393,0.04795197283256734,0.08544864711917025,0.139351874920361,0.20804184230289532,0.23276821237477532,0.33258875145132705,0.4604196159862312
145.50,-38.07,0.01006034785314861,0.015817741962828345,0.022396492156003416,0.047826402984036655,0.08507731604874151,0.13839153958199168,0.20621374403929096,0.2304548320488187,0.32829261667800186,0.45306473852384593
145.76,-16.91,0.0030877703094215675,0.004889134713539963,0.006549135100150269,0.012253392793563717,0.02131012723905509,0.036822773311819275,0.06003612604819214,0.06941733288544522,0.10916384952397334,0.1647678196142431
145.90,-41.05,0.004116736322425592,0.006390672185921603,0.008800369429579747,0.017670703928848473,0.03084526541986387,0.05096748397753623,0.07867569531303557,0.08936826788990578,0.13416249628829646,0.19557245177118102
145.92,-38.52,0.01132924296330444,0.018890454534750124,0.028332630763187632,0.0708256006898944,0.14131694949314036,0.24631632573058243,0.3851730608809077,0.43561512116897105,0.6381260684418035,0.8959775622374894
145.93,-38.17,0.010909520988288558,0.017859940322943895,0.026317695619128296,0.06204381546274525,0.1198720818623045,0.2106020356507132,0.33796390749849314,0.3889698694409319,0.601536662019734,0.8930952512212265
146.31,-36.36,0.006679296728046431,0.010020094785644133,0.013582403633691587,0.026511121848298028,0.045397338482434595,0.07402512236726937,0.11280076059887444,0.12772370826597654,0.1894171777932972,0.27227317849277144
146.40,-38.23,0.011068171358656634,0.018537781482420343,0.028223662275863818,0.07627039771896123,0.1622392973807522,0.298374770625583,0.48450362299256294,0.5580783619757401,0.8511653672728343,1.2451255778059156
146.79,-37.98,0.010024632326456414,0.015958407838847694,0.023061828121124023,0.05410806881357016,0.10636328439746001,0.18632535079176388,0.294202959283543,0.3342670504709537,0.49878641207478147,0.7113304501878293
146.80,-19.26,0.0006298642991994807,0.0013656488103832467,0.0023209068789311806,0.0062655589299235315,0.012211944113947952,0.021489687281000393,0.03473820321338511,0.040003854929504104,0.06245541531570084,0.09462656359570351
146.90,-36.06,0.007057712309678395,0.010518788357180465,0.014243884335122376,0.02772748545396715,0.04731981133555572,0.07674489452715783,0.11689441201619444,0.13253429855829424,0.1979630893326844,0.28833048191554234
147.07,-38.11,0.009712155035137296,0.015340262873647842,0.0219871484201965,0.050288559896147784,0.09748573292554316,0.17342879986495174,0.2847889628900262,0.32875913842816,0.5213564918984894,0.7982801855820391
147.13,-41.43,0.0027227239024774593,0.004398129807360094,0.00624597593241398,0.01311841287775863,0.02346179949619012,0.03951399859006583,0.06190539908804547,0.07075557866217884,0.10749967777681511,0.15814951616771752
147.33,-42.88,0.0015462268153491091,0.0032633963601457097,0.005155686441424964,0.012400651610498272,0.02365324784818782,0.041093423282001315,0.06519575541046949,0.07468627851083218,0.11309684299217318,0.16538927738639306
147.35,-35.13,0.008129436751656388,0.012059860300207738,0.016159956573747636,0.03068024245903522,0.05122518539791863,0.08029766614013906,0.11779186762173409,0.13181101393343805,0.18761440619452804,0.2602910849124124
