LON,LAT,P0.02,P0.01375,P0.01,P0.00445,P0.0021,P0.001,P0.0005,P0.000404,P0.0002,P0.0001,LOCATION
116.85,-20.73,0.00201623766628,0.00308179102852,0.00418755737117,0.00850257563057,0.0149925478243,0.0247008653308,0.0378410265022,0.042751735759,0.0633437691992,0.0917787775606,Karratha
117.01,-31.63,0.00278688296494,0.00413646949323,0.00565473310436,0.011443579163,0.0203694328289,0.0341191221993,0.0536607744901,0.0613768694349,0.0952142461585,0.146022231705,Meckering
117.03,-31.20,0.00300225982849,0.00443426263999,0.00606043376557,0.0123062609844,0.0219489801202,0.036973019158,0.0581369837905,0.0665462423233,0.102972257356,0.156377541285,Dowerin
117.40,-32.01,0.00273389418455,0.00407476917301,0.00558153902069,0.0113300721199,0.0202091284099,0.0338861518881,0.0533422420833,0.0610111733683,0.0945846895703,0.144640133991,Quairading
117.50,-32.78,0.00231251180679,0.0035049870112,0.00481059256171,0.00984814403726,0.0176184734844,0.0297226094864,0.0469096393097,0.0537996451408,0.0835132889445,0.127824094623,Wickepin
117.71,-31.63,0.00277901479599,0.0041094607616,0.00560226400901,0.0112680668473,0.0199596506379,0.0332051629105,0.0518650422141,0.0591736134334,0.0909008088978,0.137858715627,Kellerberrin
117.88,-35.02,0.000964691652772,0.00145866563562,0.00206259735978,0.00458919230895,0.00849934315584,0.0144923280913,0.0225908743711,0.0257404365181,0.0386267937746,0.056389193849,Albany
118.61,-20.31,0.00235430820005,0.00357547510099,0.00492642438431,0.00986322540877,0.0169691811367,0.0274781540482,0.0415524800255,0.0469884690086,0.0698163672648,0.102298690328,Port Hedland
119.73,-23.36,0.000984144714678,0.0014588061462,0.00203417925795,0.00443066571785,0.00817497876622,0.0139732857047,0.021841388555,0.0248965607315,0.0375834079606,0.0551764779142,Newman
119.75,-21.16,0.00200789348975,0.00306463505896,0.00415665932051,0.00848280131046,0.0151375775034,0.0253388645564,0.0395495371304,0.0451046432324,0.0691246140666,0.104528206024,Marble
121.16,-30.95,0.00148296801738,0.00229920089712,0.00328943438779,0.00720845327667,0.0135780455114,0.023880539179,0.0392756597909,0.0455498279397,0.0737490172975,0.116799061644,Coolgardie
121.46,-30.75,0.00146596445222,0.00234275261638,0.00344918331483,0.00854958485399,0.0186867079268,0.0382199359142,0.0701382999972,0.0834483642137,0.143347318933,0.230443284921,Kalgoorlie
121.88,-33.86,0.000843757730698,0.00127551842423,0.00177378662272,0.0039212587408,0.00734234139615,0.0126335322444,0.0199572856576,0.0227430841077,0.0344853721816,0.0508222768813,Esperance
122.23,-17.95,0.00469813540738,0.0068709368365,0.00894159174054,0.0154881609225,0.0236477752571,0.0347399934563,0.0493756723452,0.0550808980543,0.0797880540836,0.116981073901,Broome
123.63,-17.31,0.00505762096096,0.00762126899298,0.0101324923625,0.0170863111319,0.0251115201964,0.0353526434426,0.048433477155,0.0533999888675,0.0750867960404,0.108204461323,Derby
128.11,-15.48,0.00421181885889,0.00744092405517,0.0109234230434,0.0193937356283,0.0268126606406,0.0347896972888,0.0438039717729,0.0469368593879,0.0594618696443,0.0761665834907,Wyndham
128.74,-15.77,0.00391668400777,0.00691400024334,0.0101369613819,0.0176488671349,0.0246576070995,0.0325430647684,0.041599759132,0.0448248458567,0.0579849554541,0.0768567216305,Kununurra
