Location,Current,500_yr_PGA,0_66_1500_yr_PGA,Scenario_1,Scenario_2,Average,Proposal,LON,LAT,PLACE,TEST
Peterborough,0.12,0.043,0.059,0.08,0.08,0.08,0.08,138.84,-32.97,Peterborough,TRUE
Port Augusta,0.11,0.033,0.049,0.08,0.08,0.08,0.08,137.76,-32.48,Port Augusta,TRUE
Port Hedland,0.12,0.041,0.064,0.08,0.08,0.08,0.08,118.61,-20.31,Port Hedland,TRUE
Port Lincoln,0.1,0.015,0.024,0.08,0.08,0.08,0.08,135.86,-34.73,Port Lincoln,TRUE
Port Macquarie,0.08,0.011,0.018,0.08,0.08,0.08,0.08,152.91,-31.43,Port Macquarie,TRUE
Port Pirie,0.1,0.038,0.056,0.08,0.08,0.08,0.08,138.01,-33.2,Port Pirie,TRUE
Quairading,nan,0.076,0.117,0.082,0.08,0.081,0.1,117.4,-32.01,Quairading,TRUE
Robe,0.1,0.015,0.022,0.08,0.08,0.08,0.08,139.76,-37.01,Robe,TRUE
Rockhampton,0.08,0.008,0.012,0.08,0.08,0.08,0.08,150.5,-23.38,Rockhampton,TRUE
Sale,0.1,0.058,0.093,0.08,0.08,0.08,0.08,147.07,-38.11,Sale,TRUE
Shepparton,0.09,0.026,0.034,0.08,0.08,0.08,0.08,145.4,-36.38,Shepparton,TRUE
Sydney,0.08,0.026,0.036,0.08,0.08,0.08,0.08,151.2,-33.86,Sydney,TRUE
Tamworth,0.08,0.015,0.022,0.08,0.08,0.08,0.08,150.93,-31.08,Tamworth,TRUE
Taree,0.08,0.014,0.021,0.08,0.08,0.08,0.08,152.45,-31.91,Taree,TRUE
Tennant Creek,0.13,0.041,0.078,0.08,0.08,0.08,0.08,134.18,-19.65,Tennant Creek,TRUE
Toowoomba,0.08,0.01,0.015,0.08,0.08,0.08,0.08,151.95,-27.56,Toowoomba,TRUE
Townsville,0.08,0.007,0.011,0.08,0.08,0.08,0.08,146.8,-19.26,Townsville,TRUE
Tweed Heads,0.08,0.006,0.01,0.08,0.08,0.08,0.08,153.54,-28.18,Tweed Heads,TRUE
Uluru,0.08,0.035,0.053,0.08,0.08,0.08,0.08,131.01,-25.28,Uluru,TRUE
Victor Harbor,0.1,0.028,0.058,0.08,0.08,0.08,0.08,138.62,-35.55,Victor Harbor,TRUE
Wagga Wagga,0.09,0.031,0.043,0.08,0.08,0.08,0.08,147.35,-35.13,Wagga Wagga,TRUE
Wangaratta,0.09,0.03,0.041,0.08,0.08,0.08,0.08,146.31,-36.36,Wangaratta,TRUE
Warragul,0.09,0.079,0.125,0.088,0.08,0.084,0.1,145.93,-38.17,Warragul,TRUE
Warrnambool,0.09,0.023,0.035,0.08,0.08,0.08,0.08,142.48,-38.38,Warrnambool,TRUE
Whyalla,0.09,0.026,0.037,0.08,0.08,0.08,0.08,137.56,-33.03,Whyalla,TRUE
Wickepin,0.15,0.052,0.081,0.08,0.08,0.08,0.08,117.5,-32.78,Wickepin,TRUE
Wivenhoe,0.08,0.01,0.016,0.08,0.08,0.08,0.08,152.61,-27.41,Wivenhoe,TRUE
Wollongong,0.09,0.032,0.046,0.08,0.08,0.08,0.08,150.9,-34.41,Wollongong,TRUE
Wongan Hills,0.15,0.097,0.148,0.104,0.08,0.092,0.1,116.71,-30.9,Wongan Hills,TRUE
Woomera,0.08,0.013,0.017,0.08,0.08,0.08,0.08,136.82,-31.22,Woomera,TRUE
Wyndham,0.09,0.034,0.043,0.08,0.08,0.08,0.08,128.11,-15.48,Wyndham,TRUE
York,0.14,0.077,0.114,0.08,0.08,0.08,0.08,116.76,-31.88,York,TRUE
Yulara,0.09,0.034,0.053,0.08,0.08,0.08,0.08,130.97,-25.21,Yulara,TRUE
