STA,STLO,STLA,M17,WA07,Kea15
BQ32,132.000,-23.500,560.0,468.0,nan
BQ33,132.000,-24.000,1100.0,900.0,nan
BQ34,132.000,-24.500,270.0,494.0,nan
BR25,132.500,-20.000,360.0,294.0,nan
BR26,132.500,-20.500,270.0,428.0,nan
BR27,132.500,-21.000,360.0,237.0,nan
BR28,132.500,-21.500,360.0,278.0,nan
BR29,132.500,-22.000,270.0,237.0,nan
BR30,132.500,-22.500,360.0,247.0,nan
BR31,132.500,-23.000,560.0,184.0,nan
BR32,132.500,-23.500,760.0,729.0,nan
BR34,132.500,-24.500,270.0,218.0,nan
BS24,133.036,-19.473,270.0,228.0,nan
BS26,132.999,-20.490,270.0,248.0,nan
BS27,132.991,-20.997,360.0,244.0,nan
BS29,133.000,-22.000,1100.0,299.0,nan
BS30,133.000,-22.500,1100.0,530.0,nan
BS31,133.000,-23.000,360.0,222.0,nan
BS32,133.000,-23.500,270.0,295.0,nan
BS33,132.969,-24.032,360.0,413.0,nan
BS34,133.000,-24.500,360.0,265.0,nan
BT24,133.494,-19.495,360.0,224.0,nan
BT25,133.500,-20.000,360.0,236.0,nan
BT26,133.500,-20.500,360.0,220.0,nan
BT27,133.500,-21.000,360.0,223.0,nan
BT28,133.468,-21.513,270.0,224.0,nan
BT29,133.500,-21.990,360.0,239.0,nan
BT30,133.500,-22.500,360.0,246.0,nan
BT31,133.500,-23.000,360.0,234.0,nan
BT32,133.500,-23.500,270.0,238.0,nan
BT33,133.559,-23.974,760.0,820.0,nan
BT34,133.500,-24.500,560.0,278.0,nan
BU28,134.017,-21.493,760.0,890.0,nan
BU29,134.000,-22.000,360.0,244.0,nan
BU30,134.000,-22.500,360.0,218.0,nan
BU31,134.000,-23.000,360.0,290.0,nan
BU32,134.000,-23.500,270.0,387.0,nan
BU33,134.000,-24.000,1100.0,640.0,nan
BU34,134.000,-24.500,760.0,445.0,nan
BV28,134.498,-21.499,270.0,414.0,nan
BV29,134.500,-22.000,360.0,229.0,nan
BV30,134.463,-22.499,360.0,284.0,nan
BV31,134.500,-23.000,360.0,257.0,nan
BV32,134.526,-23.500,760.0,341.0,nan
BV33,134.558,-23.993,1100.0,595.0,nan
BV34,134.500,-24.500,270.0,327.0,nan
BW28,135.000,-21.501,360.0,299.0,nan
BW29,135.000,-21.970,270.0,421.0,nan
