STA,KAPPA,CNT
CVQOZ,0.007331,2
CWA1,0.004978,1
CWG1,-0.054308,2
CWG2,0.005736,1
CWIN,-0.053431,1
CWJJ,0.010040,1
CWL1,0.029483,1
CWL2,-0.040642,1
CWLY,0.005721,1
CWMC,-0.015886,1
CWMD,-0.038455,1
CWMJ,-0.036995,1
CWMP,-0.044327,1
CWMS,-0.009519,1
CWR1,-0.022033,1
CWR2,-0.020452,1
CWR3,-0.009155,1
CWUA,0.012366,1
CWWA,-0.003109,1
CWWB,0.036512,1
CWWY,-0.005890,1
CWYI,0.055396,1
DAM,-0.028296,2
DDB,0.014329,1
DDC,0.015581,3
DDNE,-0.019161,4
DDSW,0.000897,6
DDWB,0.079482,1
DDWK,0.006237,5
DEAL,0.000422,1
DERBY,-0.000326,6
DLN,0.007980,45
DNDOZ,0.007088,13
DOGFC,nan,3
DOW,0.016705,1
DPH,-0.070538,28
DRA,0.011408,8
DRAM,0.011408,8
DROM,-0.025511,9
DRS,0.017091,33
DTM,-0.018198,19
DTMM,-0.018198,19
DVB,-0.008205,4
DVBM,-0.008205,4
DVBX,-0.001738,2
E2A1,0.237813,1
E2A3,0.255509,1
E2A4,0.207045,1
E2B1,0.258693,1
E2B2,0.194306,1
E2B3,0.234250,1
E2B4,0.200123,1
E2B8,0.208607,1
E2B9,0.193958,1
E2C1,0.186506,2
E2C2,0.198555,1
E2C5,0.181617,1
E2C7,0.242958,1
E2C8,0.191887,1
E2C9,0.262949,2
E2D2,0.241299,1
E2D3,0.202825,1
E2D4,0.262365,1
E2D6,0.273917,1
E2D7,0.230739,1
E2D8,0.263970,2
E2D9,0.251039,2
E2E1,0.252080,1
E2E2,0.176762,1
E2E3,0.194774,2
E2E4,0.158831,1
E2E6,0.195462,2
E2E7,0.232643,1
E2E8,0.257372,1
E2E9,0.228141,2
E2F1,0.313562,1
E2F2,0.248930,1
E2F3,0.202586,2
E2F4,0.217396,1
E2F5,0.205141,2
EASTN,0.065618,6
EIDS,-0.009815,40
EPS,0.009046,2
EUAB,nan,1
EUCH,-0.089083,1
EUG,-0.047857,5
EUGM,-0.047857,5
