STA,KAPPA,CNT
E2A3,0.208363,1
E2A4,0.175604,1
E2B1,0.203173,1
E2B2,0.151101,1
E2B3,0.202833,1
E2B4,0.207851,1
E2B8,0.152347,1
E2B9,0.108989,1
E2C1,0.153914,2
E2C2,0.163058,1
E2C5,0.127032,1
E2C7,0.192914,1
E2C8,0.128501,1
E2C9,0.184888,2
E2D2,0.206632,1
E2D3,0.199711,1
E2D4,0.193253,1
E2D6,0.243533,1
E2D7,0.199279,1
E2D8,0.192558,2
E2D9,0.188214,2
E2E1,0.221143,1
E2E2,0.143426,1
E2E3,0.129942,2
E2E4,0.112602,1
E2E6,0.145042,2
E2E7,0.190446,1
E2E8,0.271751,1
E2E9,0.171588,2
E2F1,0.239427,1
E2F2,0.216022,1
E2F3,0.153215,2
E2F4,0.187488,1
E2F5,0.216942,2
EASTN,0.014532,1
EIDS,-0.046111,28
EPS,-0.019426,2
EUG,-0.090091,3
EUGM,-0.090091,3
FA10,-0.042004,2
FA12,-0.038167,1
FA13,-0.003679,1
FA14,-0.064501,1
FA15,-0.053440,1
FA18,-0.026447,1
FA19,-0.057384,1
FA20,-0.058826,1
FA22,0.004241,1
FA24,-0.070942,1
FA26,-0.025469,1
FA27,-0.028024,2
FA28,-0.049279,1
FA29,-0.035090,1
FA30,-0.064536,1
FA31,-0.052284,1
FA33,-0.138224,1
FA34,0.004472,1
FA35,-0.061729,1
FA36,-0.066797,1
FA38,-0.053291,1
FA39,-0.049444,1
FB00,-0.147359,1
FB01,-0.030200,1
FB02,-0.052195,2
FB03,-0.038678,2
FB04,-0.107321,2
FB05,-0.040245,1
FB06,0.014039,2
FB07,-0.047648,1
FB08,-0.087941,2
FB09,-0.005326,1
FC40,-0.068785,1
FC42,-0.064789,1
FC43,-0.066915,1
FD50,-0.059643,1
FD51,-0.028208,1
FD52,-0.016312,1
FD53,-0.017991,1
FD54,-0.088142,1
FD56,-0.069142,1
FD58,-0.061000,1
FD61,-0.069798,1
FD62,-0.000464,1
FD67,-0.076427,1
FINNS,-0.055649,1
FITZ,-0.049724,67
FORT,-0.044360,118
FR27,-0.013626,1
FRTM,-0.076257,3
FSH,-0.004781,7
FSHM,-0.004781,7
FTZ,-0.030277,3
FTZM,-0.030277,3
GA05,-0.047135,1
GA07,-0.047710,1
GA08,-0.103375,1
GC1S,nan,3
GC2F,-0.064552,10
GD1S,0.139787,8
GEES,-0.016318,3
GEXS,0.004523,14
GHS,-0.096885,10
GHSS,-0.096885,10
GIRL,0.013799,63
GLAD,-0.015961,11
GLADS,-0.034866,1
GLB,-0.029429,1
GLEAD,-0.065534,1
GLMM,-0.030723,3
GNGN,-0.074330,6
GOGM,0.001950,2
GOOG,-0.038030,2
GRV,-0.030150,1
GRVM,-0.030150,1
GVL,-0.073324,33
HGB,-0.055906,1
HOP,-0.049254,5
HOPM,-0.049254,5
HPS15,-0.057206,1
HTT,-0.029828,34
HWK,-0.020127,1
INKA,-0.045423,31
IVS,-0.047095,5
IVSM,-0.047095,5
JBD,-0.044524,1
JBR,-0.067427,3
JBRM,-0.067427,3
JEER,-0.033047,1
JENM,0.021326,5
KA02,-0.069306,1
KA03,-0.050351,1
KA05,-0.108855,1
KA07,-0.069085,1
KA08,-0.043688,1
KA09,-0.106397,1
KA10,-0.070952,1
KAKA,-0.001919,22
KAN,-0.037822,6
KANM,-0.037822,6
KDU,0.014881,39
KELC,-0.049887,12
KIM,0.041601,1
KIM01,-0.061229,5
KIM02,-0.040922,2
KIM03,-0.046529,5
KIM04,-0.079870,4
KIM05,-0.030750,5
KIM06,-0.006404,1
KIM07,-0.006217,5
KIM08,-0.077253,6
KIM09,-0.049253,6
KIM10,-0.135990,2
KLBR,-0.064211,110
KLG,-0.063957,3
KLGGI,-0.051221,7
KLGHH,-0.064244,7
KLGHS,0.004555,7
KMBL,-0.097032,86
KNA,-0.055087,11
KNRA,-0.069909,47
KOO1,-0.063388,3
KOO2,-0.042347,1
KORDA,-0.088951,19
KORUM,-0.017204,3
KOWA,-0.061341,2
