EV,MW,DIST,WA_AMP
36,2.6,67.7,0.213984181933
36,2.6,16.3,1.8339219961
36,2.6,79.9,0.0576991413668
36,2.6,53.3,0.266133307288
36,2.6,71.3,0.224086651706
36,2.6,204.2,0.0203774393213
36,2.6,35.3,0.460275533561
36,2.6,76.7,0.0473627779735
36,2.6,26.2,0.55789953052
36,2.6,110.6,0.106002649905
37,2.6,30.0,0.432463906832
37,2.6,31.9,0.615278465675
37,2.6,152.5,0.240748233729
37,2.6,23.0,0.394193396242
37,2.6,249.1,0.0178793161046
37,2.6,320.4,0.0203854781799
37,2.6,219.2,0.0330983474258
37,2.6,41.6,0.874411690151
37,2.6,56.8,0.0894708853713
37,2.6,87.6,0.400136453569
37,2.6,40.2,0.306450250507
37,2.6,53.5,0.233550764964
37,2.6,234.6,0.0361671938169
37,2.6,76.6,0.0601379174844
37,2.6,198.6,0.0362475972542
37,2.6,27.6,1.18696920554
37,2.6,180.2,0.0977147018961
38,2.6,179.5,0.040637462379
38,2.6,77.0,0.0563185984492
38,2.6,255.6,0.0131733358378
38,2.6,54.5,0.106012675001
38,2.6,32.2,1.84990743554
38,2.6,27.4,1.15209254452
38,2.6,18.6,0.677690623229
38,2.6,65.1,0.172531457282
38,2.6,66.6,0.123296887361
38,2.6,80.8,0.0752423636324
38,2.6,177.9,0.0477853598381
38,2.6,78.9,0.0444803946672
38,2.6,36.9,0.485090503073
38,2.6,101.9,0.170629643485
39,2.65,502.3,0.00230812177773
39,2.65,57.9,0.229112006668
39,2.65,15.5,1.69017313556
39,2.65,11.7,1.31104376923
39,2.65,21.1,9.66734663925
39,2.65,30.9,0.575991388535
39,2.65,259.0,0.0128627326251
39,2.65,425.5,0.0022412466267
39,2.65,85.3,0.0522060065715
39,2.65,112.0,0.147115764272
39,2.65,27.1,1.31334588056
39,2.65,128.9,0.144707095201
39,2.65,103.2,0.0719572381051
40,2.65,32.4,0.315555038577
40,2.65,27.5,0.363974434461
40,2.65,36.7,0.849330885419
40,2.65,131.5,0.103015615459
40,2.65,85.9,0.11326369694
40,2.65,203.5,0.0423143539652
40,2.65,67.3,0.132946773761
40,2.65,114.7,0.208900624657
40,2.65,236.7,0.0227768301545
40,2.65,151.2,0.115460369913
41,2.65,70.9,0.169482339293
41,2.65,225.3,0.0292518228425
41,2.65,421.5,0.00532628881367
41,2.65,95.4,0.260886330439
41,2.65,215.5,0.0678839899278
41,2.65,89.8,0.105334334904
41,2.65,36.3,0.275821865277
42,2.7,66.3,0.107303751846
42,2.7,76.5,0.0633478572066
42,2.7,82.8,0.218730911773
42,2.7,182.8,0.0796128957663
42,2.7,33.6,1.26009431495
42,2.7,58.9,0.256570759019
42,2.7,103.2,0.160682043754
42,2.7,111.1,0.114936420265
42,2.7,160.0,0.105842073225
42,2.7,90.9,0.141137136542
42,2.7,55.9,0.360755780795
42,2.7,50.9,0.396493684167
43,2.7,28.5,1.01170376313
43,2.7,54.3,0.279448374784
43,2.7,56.8,0.421265375437
44,2.7,41.8,0.410830479955
44,2.7,45.0,0.441304998204
44,2.7,34.9,0.812504583962
44,2.7,85.1,0.0519851342123
44,2.7,87.4,0.28883871858
44,2.7,178.7,0.0560241986036
44,2.7,94.0,0.166860889143
44,2.7,41.7,0.378809105246
44,2.7,56.9,0.168231484968
44,2.7,30.4,0.740437607128
44,2.7,58.6,0.298244925982
45,2.75,62.6,0.317235817515
45,2.75,162.2,0.110166561659
45,2.75,86.6,0.261086592827
45,2.75,16.8,2.10933079465
45,2.75,46.0,0.148903502132
45,2.75,71.0,0.231807261056
45,2.75,39.4,1.78876147256
45,2.75,127.8,0.0781878519795
45,2.75,51.6,0.250483013214
45,2.75,24.0,2.47615599327
45,2.75,54.0,0.424491108004
45,2.75,11.8,4.37485228107
45,2.75,25.9,1.18597803738
45,2.75,17.3,4.1225142841
45,2.75,68.2,0.413250029283
45,2.75,24.1,0.445432669531
46,2.75,75.5,0.0595615670727
46,2.75,498.2,0.00542108695364
46,2.75,17.1,4.77262978217
46,2.75,42.2,0.217284522726
46,2.75,345.0,0.00473954929955
46,2.75,189.1,0.0725281189769
46,2.75,94.1,0.0976320726021
46,2.75,49.9,0.381667638529
46,2.75,25.3,1.11301829785
46,2.75,140.1,0.0982390966013
46,2.75,145.7,0.0348835041111
47,2.75,115.7,0.146264802736
47,2.75,114.9,0.143009353785
47,2.75,91.2,0.145637766467
47,2.75,51.0,0.572021626286
47,2.75,16.6,4.58129014061
47,2.75,36.3,0.66215877583
47,2.75,46.8,1.01455887391
47,2.75,25.4,1.29625484985
47,2.75,263.3,0.0363661834825
47,2.75,56.2,0.122375488813
48,2.8,72.7,0.0612739878517
48,2.8,481.1,0.00893541422538
48,2.8,139.0,0.322696944613
48,2.8,94.5,0.100939807384
48,2.8,93.5,0.325503517228
48,2.8,108.2,0.0442991750037
48,2.8,78.3,0.158975944747
49,2.8,332.1,0.0124915496251
49,2.8,70.9,0.28167822777
49,2.8,104.0,0.154402000855
49,2.8,326.3,0.0429090862101
49,2.8,72.1,0.318413282833
49,2.8,258.3,0.0444583255931
49,2.8,154.3,0.123351117674
49,2.8,54.2,0.45765883305
49,2.8,231.9,0.0761132288772
49,2.8,67.0,0.399807188933
49,2.8,43.7,0.727008494993
49,2.8,196.5,0.214473457784
49,2.8,145.3,0.207667997901
49,2.8,171.2,0.138708457947
49,2.8,146.4,0.41932121513
49,2.8,178.2,0.099052235714
49,2.8,64.5,1.08777900196
49,2.8,153.8,0.104679200128
50,2.8,97.5,0.193477474222
50,2.8,198.2,0.0389047229519
50,2.8,124.5,0.11580985729
50,2.8,112.1,0.157164738593
50,2.8,100.4,0.100975054924
50,2.8,131.4,0.135877981506
50,2.8,466.1,0.00682158931272
50,2.8,429.5,0.00569614725798
50,2.8,122.3,0.0863461589459
50,2.8,341.9,0.00907328373498
50,2.8,163.1,0.0757797823551
50,2.8,37.0,0.469070841806
50,2.8,57.6,0.243993103638
50,2.8,460.8,0.0067532164098
50,2.8,165.6,0.0531793235014
50,2.8,171.2,0.0461481034853
50,2.8,333.6,0.0118202702784
50,2.8,493.7,0.012706370474
50,2.8,20.4,3.82172463939
50,2.8,262.9,0.0660501491867
51,2.85,58.5,0.245934651192
51,2.85,52.7,0.26343512408
51,2.85,43.5,0.362211204063
51,2.85,86.2,0.181016861952
51,2.85,127.5,0.0868874291016
51,2.85,132.2,0.187224076007
52,2.85,125.4,0.193283413364
52,2.85,77.6,0.163210068733
52,2.85,161.3,0.0818890498879
52,2.85,151.0,0.0840060153402
52,2.85,95.0,0.301311147984
52,2.85,311.1,0.0339476302255
52,2.85,338.4,0.0179317464137
52,2.85,369.8,0.00621605206904
52,2.85,90.8,0.307144506768
52,2.85,144.9,0.182939668861
52,2.85,117.0,0.172921615651
52,2.85,30.9,2.05897637481
52,2.85,151.2,0.145981769357
52,2.85,115.4,0.315123221598
52,2.85,499.8,0.0151448960057
52,2.85,23.9,1.2199675095
53,2.85,14.7,4.51228098552
53,2.85,40.6,0.865613811623
53,2.85,104.3,0.153849457595
53,2.85,323.0,0.0226036072054
53,2.85,201.4,0.0659266647105
53,2.85,177.3,0.0703782073452
53,2.85,240.3,0.0705020990135
53,2.85,90.0,0.149909322802
53,2.85,82.5,0.168334454037
53,2.85,96.9,0.137291950935
53,2.85,23.3,1.53278368619
53,2.85,61.8,0.132613114593
53,2.85,300.7,0.0334207380311
53,2.85,246.6,0.156932907097
54,2.9,20.6,2.57666657815
54,2.9,255.6,0.110555734246
54,2.9,84.3,0.160218986597
54,2.9,126.1,0.101095454401
54,2.9,122.4,0.149821588648
54,2.9,237.9,0.172158314596
54,2.9,298.7,0.029949974032
54,2.9,272.2,0.0319509002779
54,2.9,125.9,0.365747623198
54,2.9,387.9,0.00746942433933
54,2.9,233.2,0.0955301411311
54,2.9,86.3,0.109816982538
54,2.9,113.7,0.393611643829
55,2.9,135.6,0.286818533582
55,2.9,132.8,0.2826630729
55,2.9,489.2,0.00803914332198
55,2.9,122.4,0.216460789363
55,2.9,281.4,0.060905497076
55,2.9,180.6,0.29850432238
55,2.9,91.4,0.313356337166
55,2.9,58.5,0.321508088681
55,2.9,106.8,0.122371218275
55,2.9,82.5,0.289966885519
55,2.9,107.4,0.202964579881
55,2.9,35.9,0.980336820297
55,2.9,213.0,0.176911827771
55,2.9,124.0,0.224473101871
55,2.9,53.5,0.526202685436
55,2.9,255.8,0.0422843576133
55,2.9,80.2,0.200120744536
55,2.9,79.0,0.146889468286
55,2.9,380.1,0.00441411918802
