MAG,DIST,PGV (cm/s)
4.00,50,0.0173605561609
4.50,50,0.141876342887
4.50,30,0.0583971568245
4.50,10,0.3751213038
5.00,250,0.0293564667129
4.00,390,0.000738231518079
5.00,500,0.0028623927124
4.00,380,0.000841532779844
4.50,20,0.127090528516
4.00,20,0.0463525103337
4.50,130,0.0053673329984
4.50,460,0.00100948238505
4.50,440,0.00103793529076
4.50,110,0.00592493451378
5.00,80,0.0748986353066
5.00,190,0.0309410439957
4.00,260,0.000558695198195
4.00,240,0.000426139339378
4.00,270,0.0026238467332
4.00,250,0.00100448671893
4.50,330,0.00091510309142
5.00,180,0.0324104642011
4.50,120,0.0148038589881
4.50,470,0.00025104680568
4.50,450,0.000860119772688
4.50,100,0.0258811919424
4.50,430,0.000801341727049
4.50,160,0.0138135596045
4.50,140,0.0182495477383
4.50,410,0.000600510829623
5.00,490,0.000669588059791
4.00,230,0.000923398244268
4.00,210,0.0014542472812
4.00,220,0.00159632920883
4.00,200,0.00454895933874
4.50,340,0.00122526425994
5.00,480,0.00280208880058
4.50,420,0.000508335161149
4.50,170,0.0301819468773
4.50,150,0.0243169545358
4.50,400,0.00119044516847
5.00,300,0.0064883212076
5.00,320,0.0113350760403
5.00,20,0.388990167657
5.00,460,0.00328730958822
4.50,380,0.00118312469437
5.00,130,0.0851234609686
4.50,390,0.00166859633383
5.00,30,0.272626157028
5.00,10,0.974336499128
5.00,310,0.00674194242319
5.00,330,0.00669662694574
5.00,350,0.00439075904308
4.50,490,0.00133951092076
5.00,370,0.00629205722729
5.00,70,0.0581317326321
5.00,50,0.0788454071966
5.00,410,0.00857906236903
5.00,140,0.0503104919867
5.00,60,0.0511571388699
5.00,40,0.115244753107
5.00,340,0.00436346388437
5.00,360,0.00529406445145
4.00,430,8.62415626521e-05
4.00,160,0.0115755964894
5.00,290,0.0123065457829
4.00,370,0.000937265148137
4.00,350,0.000744247926522
4.50,210,0.00988182437167
4.00,360,0.000713163308077
4.00,340,0.000157991084948
4.00,440,0.000237983064852
4.50,80,0.023765430037
4.00,110,0.00746493644248
4.50,500,0.00086060076847
4.00,320,0.000519723886997
4.00,300,0.000683696726338
4.50,260,0.00265340768606
4.00,330,0.000109194845413
4.00,310,0.000317297578649
4.50,90,0.00510202800434
4.00,90,0.00578010258614
4.00,490,0.000204179591967
4.00,70,0.00900649967655
4.50,70,0.0102680915962
4.00,50,0.0074663591319
5.00,210,0.0263511209788
5.00,230,0.0149967665002
4.50,290,0.00221385772859
4.50,280,0.00498581230622
